type	latitude	longitude	element	cost
W	51.898866	-8.498802	3777201945	0
W	51.898874	-8.498214	138321458	3.64
W	51.898894	-8.497892	138321455	5.64
W	51.898854	-8.497656	138321451	7.15
W	51.898753	-8.497516	138321449	8.48
W	51.898467	-8.497078	138321444	12.42
W	51.898329	-8.496864	138321439	14.33
W	51.898226	-8.496787	138319573	15.46
W	51.898325	-8.496228	357683	18.33
W	51.898503	-8.495252	1648603178	23.36
W	51.898603	-8.494585	1648602835	26.75
W	51.898671	-8.494061	451722780	29.4
W	51.8987	-8.493954	1648603287	29.98
W	51.898768	-8.493612	1648603066	31.76
W	51.898855	-8.493319	357682	33.37
W	51.899169	-8.492233	357681	39.3
W	51.899233	-8.491916	508058560	40.95
W	51.899388	-8.491271	1428310901	44.37
W	51.899453	-8.491068	1428310904	45.5
W	51.899661	-8.490393	1428310916	49.23
W	51.899891	-8.489625	146744335	53.45
W	51.900006	-8.489269	357679	55.43
W	51.900062	-8.488969	1514296712	56.98
W	51.900081	-8.488776	1650902672	57.95
W	51.900088	-8.488711	349931266	58.28
W	51.900139	-8.488173	508058982	60.97
W	51.900248	-8.487648	357678	63.71
W	51.900369	-8.487245	1514296716	65.92
W	51.90042	-8.487079	1514296717	66.84
W	51.90046	-8.486858	349931265	67.98
W	51.900522	-8.486288	357677	70.84
W	51.900587	-8.485716	1650902665	73.72
W	51.900617	-8.485453	513725852	75.04
W	51.90065	-8.485226	513725835	76.19
W	51.900671	-8.48476	461773215	78.5
W	51.900776	-8.484286	357676	80.99
W	51.900731	-8.484149	357675	81.75
W	51.900671	-8.483989	508344408	82.68
W	51.900597	-8.483749	349931264	84.0
W	51.900558	-8.483602	939235648	84.79
W	51.90055	-8.483461	357666	85.49
W	51.900741	-8.482755	599124329	89.3
W	51.901055	-8.48148	357674	96.08
W	51.901178	-8.480882	1249140513	99.2
W	51.901222	-8.480668	528288121	100.31
W	51.901429	-8.479645	357673	105.63
W	51.901385	-8.479684	1412417643	105.88
W	51.901111	-8.479591	1412417648	108.12
W	51.901068	-8.479537	354180	108.39
W	51.901108	-8.479273	449340447	109.74
W	51.90117	-8.47866	427764957	112.81
W	51.901181	-8.478413	354189	114.03
W	51.901168	-8.478074	427764954	115.71
W	51.901144	-8.477805	354188	117.05
W	51.901132	-8.477654	427764960	117.8
W	51.901097	-8.477472	1232371859	118.74
W	51.901051	-8.477272	1428225325	119.79
W	51.900995	-8.477087	1428225322	120.81
W	51.900906	-8.476811	1428225319	122.35
W	51.900773	-8.476429	354186	124.52
W	51.900734	-8.476293	1232371853	125.26
W	51.900638	-8.475787	1232371854	127.88
W	51.900574	-8.475449	3600086555	129.63
W	51.900529	-8.474774	1232371857	132.99
W	51.900517	-8.474197	240196952	135.84
W	51.900506	-8.473579	354173	138.89
W	51.900468	-8.472822	348422539	142.64
W	51.90045	-8.472541	1486494398	144.04
W	51.900432	-8.472299	1851701288	145.25
W	51.900422	-8.472186	1339492653	145.81
W	51.90036	-8.471436	358313	149.55
W	51.900278	-8.470476	1486417545	154.34
W	51.899982	-8.467623	3455118967	168.64
W	51.899935	-8.467168	453344873	170.92
W	51.899899	-8.466878	2440035816	172.38
W	51.899856	-8.466483	3240223146	174.36
W	51.899782	-8.465829	354153	177.64
W	51.899604	-8.465898	1517550661	179.11
W	51.899471	-8.465956	1853281926	180.21
W	51.899402	-8.465965	1517550677	180.76
W	51.899328	-8.465947	354194	181.36
W	51.899038	-8.465765	1853363388	183.85
W	51.898962	-8.465717	354192	184.5
W	51.8985	-8.465419	508307635	188.49
W	51.898381	-8.465352	354193	189.49
W	51.898314	-8.465307	1230633408	190.07
W	51.898286	-8.465285	1230633185	190.32
W	51.898261	-8.465275	324317708	190.53
W	51.897851	-8.465031	324317714	194.03
W	51.897757	-8.464972	1233071187	194.84
W	51.897672	-8.464929	354200	195.56
W	51.896842	-8.464385	7843500	202.73
W	51.896741	-8.464308	1349121906	203.62
W	51.896607	-8.464205	1349121919	204.81
W	51.896314	-8.46398	468749201	207.41
W	51.896119	-8.463835	1349121851	209.12
W	51.896072	-8.463801	1231459448	209.53
W	51.895891	-8.463584	1138249882	211.33
W	51.895804	-8.46345	1514180657	212.29
W	51.895682	-8.46342	2687080606	213.28
W	51.895648	-8.463412	322508224	213.55
W	51.89539	-8.463198	1231539191	215.87
W	51.895148	-8.463071	1138249707	217.91
W	51.894321	-8.462729	1138250100	224.74
W	51.894084	-8.462641	1231539204	226.36
W	51.893734	-8.462522	2039183	228.74
W	51.893352	-8.462453	1514180655	231.31
W	51.893015	-8.462447	1264155593	233.56
W	51.892757	-8.462482	322254775	235.29
W	51.892076	-8.462591	322508225	239.86
W	51.891003	-8.462851	14146634	244.2
W	51.890431	-8.462948	2833117311	246.5
W	51.889876	-8.46306	2039172	248.74
W	51.888085	-8.463341	2039166	255.94
W	51.887124	-8.463513	14146627	259.81
W	51.885738	-8.463918	14146625	265.45
W	51.884897	-8.46411	1264155689	268.85
W	51.884155	-8.464279	14146624	271.85
W	51.882595	-8.464619	14146623	278.15
W	51.881347	-8.464888	14146621	283.19
W	51.880073	-8.465136	14146620	288.33
W	51.87936	-8.465255	1514328769	291.2
W	51.878864	-8.465354	1514328765	293.2
W	51.878776	-8.465384	1514328762	293.56
W	51.878749	-8.46518	430665	294.59
W	51.878402	-8.465313	292091829	296.02
W	51.877947	-8.465499	14146606	297.9
W	51.877549	-8.465694	292091826	299.56
W	51.877178	-8.465913	430666	301.14
W	51.876986	-8.46605	1138340915	301.98
W	51.876704	-8.466261	1138341089	303.22
W	51.876172	-8.46668	14146605	305.59
W	51.875807	-8.46707	292091818	307.34
W	51.875396	-8.467462	895505172	309.25
W	51.875286	-8.467617	430667	309.83
W	51.875177	-8.467761	248481675	310.39
W	51.874353	-8.469071	14146643	315.01
W	51.874211	-8.469284	1138341113	315.79
W	51.874072	-8.469396	1138341012	316.41
W	51.874042	-8.469392	2272255775	316.53
W	51.873863	-8.469383	430669	317.24
W	51.87381	-8.469114	243048055	318.64
W	51.873768	-8.468835	1138341079	320.06
W	51.873784	-8.468545	1138341037	321.5
W	51.873824	-8.468178	1138341069	323.34
W	51.873894	-8.467553	248481692	326.48
W	51.873953	-8.466907	430672	329.71
W	51.874053	-8.465712	874302691	335.67
W	51.874137	-8.464231	430670	343.03
W	51.874144	-8.4621	243048121	353.56
W	51.874034	-8.459748	430671	365.22
W	51.87394	-8.457811	430673	370.03
W	51.873814	-8.455461	292305983	375.86
W	51.873738	-8.453964	292305984	379.57
W	51.873734	-8.453405	1846675690	380.95
W	51.873751	-8.452701	430674	382.69
W	51.873779	-8.452183	1846675708	383.98
W	51.873825	-8.451633	14146660	385.35
W	51.873895	-8.451061	1846675733	386.79
W	51.873997	-8.450414	1846675698	388.44
W	51.874102	-8.449926	430675	389.72
W	51.874267	-8.449243	1846675726	391.53
W	51.874429	-8.448681	292305986	393.07
W	51.874708	-8.447878	430676	395.34
W	51.875026	-8.447025	797461037	397.81
W	51.875326	-8.446239	430677	400.09
W	51.875528	-8.445742	430678	401.56
W	51.877152	-8.441339	965331737	414.24
W	51.877301	-8.440954	292305987	415.36
W	51.877327	-8.440885	430686	415.56
W	51.877709	-8.439898	964979626	418.44
W	51.878525	-8.437734	797461081	424.71
W	51.878694	-8.437236	292305988	426.11
W	51.878818	-8.436827	1846675710	427.24
W	51.878959	-8.436262	291153581	428.75
W	51.879062	-8.435791	292305989	429.99
W	51.879278	-8.434538	430679	433.2
W	51.879601	-8.432606	292305991	438.15
W	51.879832	-8.431184	430680	441.78
W	51.88009	-8.429559	292305992	445.93
W	51.880214	-8.428765	430681	447.95
W	51.880316	-8.427991	430682	449.91
W	51.880384	-8.427174	1846675711	451.95
W	51.880435	-8.426285	1846675714	454.16
W	51.880449	-8.425513	1846675725	456.07
W	51.880439	-8.424748	292305996	457.96
W	51.880414	-8.423983	1846675736	459.85
W	51.880377	-8.42342	1846675688	461.25
W	51.880318	-8.422773	430683	462.87
W	51.880231	-8.422011	239982353	464.78
W	51.880153	-8.421302	964979585	466.56
W	51.880115	-8.420805	964979588	467.8
W	51.880094	-8.420175	964979590	469.36
W	51.8801	-8.419415	239982155	471.24
W	51.880112	-8.419135	239982262	471.93
W	51.880142	-8.41868	430684	473.06
W	51.880182	-8.418259	239982065	474.11
W	51.880251	-8.417775	1185447250	475.34
W	51.880323	-8.417405	239982066	476.3
W	51.880457	-8.416672	239982067	478.19
W	51.880546	-8.416288	1185447301	479.2
W	51.880657	-8.415895	1780931007	480.27
W	51.880762	-8.415559	430685	481.2
W	51.881226	-8.414278	292305998	484.87
W	51.881351	-8.413919	1780931011	485.89
W	51.881474	-8.413519	292305999	487.0
W	51.881621	-8.413003	1780930942	488.41
W	51.881765	-8.412428	430687	489.94
W	51.881889	-8.411904	1780930944	491.33
W	51.88199	-8.411393	292306001	492.66
W	51.882104	-8.410717	1780930986	494.39
W	51.88222	-8.409842	292306002	496.6
W	51.882413	-8.408345	430688	500.38
W	51.882592	-8.406951	1780930967	503.9
W	51.882851	-8.404991	430689	508.86
W	51.883228	-8.402546	1780930983	521.32
W	51.883485	-8.401124	247375570	528.64
W	51.883754	-8.399716	1780930946	535.92
W	51.883874	-8.399121	247375571	539.02
W	51.88393	-8.398931	1780930913	540.06
W	51.883995	-8.398743	330134858	541.13
W	51.884089	-8.398497	1515350130	542.56
W	51.884133	-8.398336	1515350135	543.43
