type	latitude	longitude	element	cost
W	51.898022	-8.47019	358357	0
W	51.897966	-8.470487	358365	2.56
W	51.897847	-8.471075	358657	7.66
W	51.896901	-8.470568	358658	20.96
W	51.896828	-8.470895	465215512	22.68
W	51.896735	-8.471309	358656	24.86
W	51.896563	-8.472071	358654	28.87
W	51.896417	-8.472747	354240	32.41
W	51.895945	-8.472488	354232	36.4
W	51.895927	-8.472482	324321158	36.55
W	51.895671	-8.47254	324321160	38.62
W	51.895605	-8.472555	1515328694	39.15
W	51.895619	-8.472812	461157542	40.43
W	51.895633	-8.473264	1505363885	42.66
W	51.895649	-8.473749	461166414	45.06
W	51.895649	-8.47426	1505363897	47.59
W	51.895645	-8.474613	1515331920	49.33
W	51.895592	-8.475194	461166412	52.23
W	51.895549	-8.475737	1596083705	54.93
W	51.895519	-8.475958	1596083704	56.05
W	51.895478	-8.476099	354161	56.82
W	51.895405	-8.476165	684822293	57.49
W	51.895335	-8.476195	1813925089	58.07
W	51.895229	-8.476241	1318890204	58.95
W	51.895124	-8.476273	1505363868	59.81
W	51.894869	-8.476377	1071058800	61.92
W	51.894806	-8.476417	1505363830	62.46
W	51.894771	-8.476484	1338462493	62.89
W	51.894693	-8.476638	1230633114	63.87
W	51.894552	-8.476857	1318890885	65.44
W	51.894337	-8.477108	2413007646	67.56
W	51.894295	-8.477158	354274	67.98
W	51.894039	-8.477468	687316568	70.54
W	51.893945	-8.477565	1514298212	71.44
W	51.893753	-8.477856	428466	73.54
W	51.893736	-8.477878	1336874197	73.72
W	51.893638	-8.478021	1318890297	74.77
W	51.893528	-8.478266	354273	76.26
W	51.893272	-8.47887	385969	79.88
W	51.893147	-8.479157	1334529848	81.62
W	51.893003	-8.479519	1334529878	83.75
W	51.892939	-8.479726	327618319	84.9
W	51.892866	-8.479996	991906745	86.35
W	51.892701	-8.480683	1318890229	90.0
W	51.892683	-8.480807	385968	90.63
W	51.892647	-8.480952	429942844	91.4
W	51.892597	-8.481176	1780441135	92.58
W	51.89254	-8.481546	1318890041	94.47
W	51.89247	-8.482083	1780441200	97.18
W	51.892382	-8.482802	429942841	100.8
W	51.892297	-8.483232	196474497	103.03
W	51.892206	-8.483683	1318890416	105.37
W	51.892132	-8.484047	1780441086	107.27
W	51.892088	-8.484264	429942839	108.4
W	51.892056	-8.484348	1513313304	108.89
W	51.892048	-8.484351	1780441095	108.96
W	51.89191	-8.484749	1780441220	111.21
W	51.891681	-8.485399	1780441128	114.91
W	51.891609	-8.485561	1780441184	115.9
W	51.891346	-8.486351	354291	120.34
W	51.8912	-8.48681	1318890895	122.89
W	51.891099	-8.487155	1513313301	124.78
W	51.891023	-8.487487	1780441114	126.53
W	51.890993	-8.487619	1513313298	127.23
W	51.890957	-8.4878	1513313297	128.17
W	51.890919	-8.487821	1513313293	128.49
W	51.890872	-8.487941	599056246	129.19
W	51.890758	-8.488257	1513313291	131.0
W	51.890592	-8.488647	1513313281	133.34
W	51.890507	-8.48886	1513313279	134.6
W	51.890211	-8.489481	1513313275	138.47
W	51.890097	-8.489748	1513313270	140.08
W	51.889995	-8.490005	599063189	141.59
W	51.889879	-8.490394	1318890404	143.72
W	51.889762	-8.490831	1513313268	146.08
W	51.889629	-8.491286	599063188	148.57
W	51.889555	-8.491554	1513313256	150.02
W	51.889487	-8.491781	1513313255	151.27
W	51.889394	-8.492016	1318890506	152.65
W	51.889338	-8.49213	3707678564	153.37
W	51.889228	-8.492348	354294	154.76
W	51.88917	-8.492452	1318890512	155.45
W	51.888995	-8.49276	1500854281	157.52
W	51.888862	-8.493014	3707678562	159.16
W	51.888713	-8.493307	1513313253	161.04
W	51.888502	-8.493699	1513313252	163.61
W	51.888415	-8.493861	1513313250	164.67
W	51.888279	-8.494132	1513313249	166.4
W	51.888019	-8.49463	1513313247	169.62
W	51.887921	-8.494767	1513313246	170.66
W	51.887853	-8.494862	1513313244	171.38
W	51.887753	-8.495002	1318890597	172.44
W	51.887312	-8.495642	1513338738	177.18
W	51.887161	-8.495877	1513338718	178.86
W	51.88701	-8.496114	1513338716	180.54
W	51.886843	-8.496381	1513338714	182.42
W	51.886781	-8.496474	3705181997	183.1
W	51.886711	-8.496579	1513338712	183.86
W	51.886603	-8.496754	1495808827	185.08
W	51.886429	-8.497012	1318890847	186.97
W	51.886295	-8.497213	1318890283	188.43
W	51.886224	-8.497329	1516195483	189.24
W	51.886187	-8.497388	1513338708	189.65
W	51.886058	-8.497686	1513338706	191.45
W	51.885888	-8.498136	1513338704	194.06
W	51.885762	-8.498524	1513338699	196.23
W	51.885689	-8.498835	684822275	197.87
W	51.885646	-8.499216	1318890695	199.79
W	51.885623	-8.499765	1318890448	202.51
W	51.885612	-8.499885	1516179393	203.11
W	51.885594	-8.500073	1334658644	204.05
W	51.885571	-8.500201	1516195530	204.71
W	51.885544	-8.500358	1513326001	205.52
W	51.885514	-8.500498	1513325999	206.25
W	51.885452	-8.500761	684822274	207.64
W	51.885404	-8.500937	17272480	208.59
W	51.885328	-8.501175	742413590	209.92
W	51.88522	-8.501367	1513325996	211.2
W	51.885013	-8.501788	1513325994	213.86
W	51.88491	-8.501988	1326930812	215.15
W	51.884825	-8.502136	684822273	216.15
W	51.884713	-8.502414	1513325990	217.79
W	51.884608	-8.502637	1513342300	219.18
W	51.88452	-8.502853	1513325983	220.46
W	51.884266	-8.50349	1513325966	224.2
W	51.884119	-8.503872	1513325964	226.43
W	51.884023	-8.504121	830645005	227.88
W	51.883703	-8.504949	1513325959	232.7
W	51.883603	-8.505208	1513325957	234.21
W	51.883572	-8.505289	1658218151	234.68
W	51.8835	-8.505477	893161865	235.78
W	51.883367	-8.505826	1513325955	237.81
W	51.883265	-8.506088	2465068234	239.34
W	51.883072	-8.506581	1513325950	242.23
W	51.883038	-8.506797	1333715963	243.33
W	51.883034	-8.506922	1333716037	243.95
W	51.883041	-8.507023	1333716040	244.45
W	51.883053	-8.507132	408206	245.0
W	51.883059	-8.507223	1333716019	245.45
W	51.883033	-8.507375	1333715906	246.23
W	51.882987	-8.507477	414990947	246.85
W	51.882896	-8.507582	408203	247.74
W	51.882818	-8.507636	414990945	248.42
W	51.882722	-8.507696	408204	249.24
W	51.882643	-8.507827	728772777	250.15
W	51.882603	-8.508005	1079069842	251.08
W	51.88257	-8.5082	326445062	252.08
W	51.882535	-8.508445	1079069820	253.32
W	51.882485	-8.508667	326445060	254.49
W	51.882405	-8.508933	2232141	255.95
W	51.882083	-8.509678	2232140	260.44
W	51.88197	-8.509986	1669490888	262.21
W	51.881882	-8.510265	1333766960	263.76
W	51.881834	-8.510411	1333857086	264.58
W	51.881784	-8.510535	1333766990	265.31
W	51.881737	-8.510641	860206013	265.95
