type	latitude	longitude	element	cost
W	51.893786	-8.499404	1669466540	0
W	51.893966	-8.498426	354516	5.05
W	51.894103	-8.497682	444522	8.89
W	51.894183	-8.49725	770569132	11.12
W	51.894295	-8.496642	2691915726	14.26
W	51.894577	-8.495187	354306	21.8
W	51.894865	-8.493592	444521	30.01
W	51.895182	-8.491788	354517	39.28
W	51.895518	-8.489697	472727904	49.96
W	51.895599	-8.489549	1515825430	50.94
W	51.895631	-8.489492	472727894	51.32
W	51.895713	-8.489408	348410559	52.1
W	51.89609	-8.489363	3625408655	55.13
W	51.896264	-8.489212	472727896	56.71
W	51.89642	-8.488981	354519	58.4
W	51.896686	-8.487467	348409962	66.18
W	51.897098	-8.485329	354523	77.25
W	51.897115	-8.485239	3865938883	77.72
W	51.897254	-8.484516	1514301840	81.46
W	51.897441	-8.483958	472727897	84.59
W	51.89776	-8.483055	1514301843	89.74
W	51.897907	-8.482769	1514301847	91.58
W	51.897963	-8.482677	1514301849	92.22
W	51.898147	-8.482784	1514301856	93.79
W	51.898197	-8.482812	3592054941	94.22
W	51.898196	-8.482811	3592054940	94.23
W	51.898519	-8.48299	693828626	96.96
W	51.898681	-8.483059	3592054945	98.3
W	51.898751	-8.483095	1230633209	98.89
W	51.898799	-8.483098	3592054947	99.27
W	51.898873	-8.483102	1428854986	99.87
W	51.898958	-8.483118	1428854988	100.55
W	51.899248	-8.483231	1609381008	102.94
W	51.899527	-8.483289	149577660	105.19
W	51.899633	-8.483293	1515334802	106.04
W	51.899753	-8.483286	1515334825	107.0
W	51.899883	-8.483247	1515334827	108.06
W	51.900018	-8.483179	1071058723	109.19
W	51.900068	-8.483122	1515334831	109.68
W	51.900094	-8.483081	1515334833	109.97
W	51.900149	-8.482971	1515334835	110.67
W	51.900281	-8.482657	354533	112.54
W	51.900488	-8.481905	391939	116.61
W	51.900664	-8.481239	1813924792	120.19
W	51.900673	-8.481106	354181	120.85
W	51.901068	-8.479537	354180	129.22
W	51.901111	-8.479591	1412417648	129.49
W	51.901385	-8.479684	1412417643	131.73
W	51.901429	-8.479645	357673	131.98
W	51.901511	-8.47966	389078	132.64
W	51.901603	-8.479646	939235346	133.38
W	51.901684	-8.479534	72198505	134.23
W	51.90175	-8.479361	1425113910	135.23
W	51.9018	-8.479231	72198504	135.99
W	51.901852	-8.479104	1597383670	136.74
W	51.901899	-8.47899	389076	137.41
W	51.902	-8.478872	72198502	138.41
W	51.902251	-8.478732	389077	140.54
W	51.902573	-8.478545	389075	143.28
W	51.902896	-8.478329	385549	146.08
W	51.903205	-8.478162	72215788	148.69
W	51.90323	-8.478143	461715112	148.91
W	51.90357	-8.477895	72198498	151.89
W	51.90374	-8.477767	1200319853	153.39
W	51.903766	-8.477747	385563	153.62
W	51.903858	-8.477688	1454296139	154.41
W	51.904251	-8.477432	1199510641	157.8
W	51.904466	-8.477292	1199510428	159.66
W	51.904578	-8.477245	508073123	160.59
W	51.904633	-8.477232	385548	161.03
W	51.904727	-8.477194	1200319998	161.81
W	51.904744	-8.477187	348942410	161.95
W	51.90477	-8.477337	1199510525	162.91
W	51.90483	-8.477446	348942409	163.81
W	51.905321	-8.478105	528288279	170.19
W	51.90535	-8.478119	599124346	170.5
W	51.905392	-8.478139	17272358	170.93
W	51.905488	-8.478123	528288328	171.9
W	51.905753	-8.478048	17272357	174.59
W	51.906068	-8.477944	17272356	177.81
W	51.906084	-8.47794	2166014824	177.97
W	51.906189	-8.477908	1199510520	179.04
W	51.906428	-8.477873	1199510625	181.44
W	51.906568	-8.477865	1199510548	182.85
W	51.906678	-8.477905	1199510527	183.97
W	51.906784	-8.477999	1199510671	185.18
W	51.906863	-8.478106	1199510747	186.21
W	51.906936	-8.47817	1199510449	187.04
W	51.907043	-8.478241	351537393	188.2
W	51.907064	-8.478171	351531221	188.58
W	51.907209	-8.477799	351537400	190.76
W	51.907477	-8.4773	1147697565	194.03
W	51.907604	-8.477087	1147697924	195.49
